3606,Liquor and Tobacco Product Wholesaling,360
3609,Other Grocery Wholesaling,360
3711,Textile Product Wholesaling,371
3712,Clothing and Footwear Wholesaling,371
3720,Pharmaceutical and Toiletry Goods Wholesaling,372
3731,Furniture and Floor Coverings Wholesaling,373
3732,Jewellery and Watch Wholesaling,373
3733,Kitchen and Dining Ware Wholesaling,373
3734,Toy and Sporting Goods Wholesaling,373
3735,Book and Magazine Wholesaling,373
3736,Paper Product Wholesaling,373
3739,Other Goods Wholesaling n.e.c.,373
3800,Commission Based Wholesaling,380
3911,Car Retailing,391
3912,Motor Cycle Retailing,391
3913,Trailer and Other Motor Vehicle Retailing,391
3921,Motor Vehicle Parts Retailing,392
3922,Tyre Retailing,392
4000,Fuel Retailing,400
4110,Supermarket and Grocery Stores,411
4121,"Fresh Meat, Fish and Poultry Retailing",412
4122,Fruit and Vegetable Retailing,412
4123,Liquor Retailing,412
4129,Other Specialised Food Retailing,412
4211,Furniture Retailing,421
4212,Floor Coverings Retailing,421
4213,Houseware Retailing,421
4214,Manchester and Other Textile Goods Retailing,421
4221,"Electrical, Electronic and Gas Appliance Retailing",422
4222,Computer and Computer Peripherals Retailing,422
4229,Other Electrical and Electronic Goods Retailing,422
4231,Hardware and Building Supplies Retailing,423
4232,Garden Supplies Retailing,423
4241,Sport and Camping Equipment Retailing,424
4242,Entertainment Media Retailing,424
4243,Toy and Game Retailing,424
4244,Newspaper and Book Retailing,424
4245,Marine Equipment Retailing,424
4251,Clothing Retailing,425
4252,Footwear Retailing,425
4253,Watch and Jewellery Retailing,425
4259,Other Personal Accessories Retailing,425
4260,Department Stores,426
4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",427
4272,Stationery Goods Retailing,427
4273,Antique and Used Goods Retailing,427
4274,Flower Retailing,427
4279,Other Store-Based Retailing n.e.c.,427
4310,Non Store Retailing,431
4320,Retail Commission Based Buying and/or Selling,432
4400,Accommodation,440
4511,Cafes and Restaurants,451
4512,Takeaway Food Services,451
4513,Catering Services,451
4520,"Pubs, Taverns and Bars",452
4530,Clubs (Hospitality),453
4610,Road Freight Transport,461
4621,Interurban and Rural Bus Transport,462
4622,Urban Bus Transport (Including Tramway),462
4623,Taxi and Other Road Transport,462
4710,Rail Freight Transport,471
4720,Rail Passenger Transport,472
4810,Water Freight Transport,481
4820,Water Passenger Transport,482
4900,Air and Space Transport,490
5010,Scenic and Sightseeing Transport,501
5021,Pipeline Transport,502
5029,Other Transport n.e.c.,502
5101,Postal Services,510
5102,Courier Pick-up and Delivery Services,510
5211,Stevedoring Services,521
5212,Port and Water Transport Terminal Operations,521
5219,Other Water Transport Support Services,521
5220,Airport Operations and Other Air Transport Support Services,522
5291,Customs Agency Services,529
5292,Freight Forwarding Services,529
5299,Other Transport Support Services n.e.c,529
5301,Grain Storage Services,530
5309,Other Warehousing and Storage Services,530
5411,Newspaper Publishing,541
5412,Magazine and Other Periodical Publishing,541
5413,Book Publishing,541
5414,Directory and Mailing List Publishing,541
5419,"Other Publishing (except Software, Music and Internet)",541
5420,Software Publishing,542
5511,Motion Picture and Video Production,551
5512,Motion Picture and Video Distribution,551
5513,Motion Picture Exhibition,551
5514,Postproduction Services and Other Motion Picture and Video Activities,551
5521,Music Publishing,552
5522,Music and Other Sound Recording Activities,552
5610,Radio Broadcasting,561
5621,Free-to-Air Television Broadcasting,562
5622,Cable and Other Subscription Programming,562
5700,Internet Publishing and Broadcasting,570
5801,Wired Telecommunications Network Operation,580
5802,Other Telecommunications Network Operation,580
5809,Other Telecommunications Services,580
5910,Internet Access Services,591
5921,Data Processing and Web Hosting Services,592
5922,Electronic Information Storage Services,592
6010,Libraries and Archives,601
6020,Other Information Services,602
6210,Central Banking,621
6221,Banking,622
6222,Building Society Operation,622
6223,Credit Union Operation,622
6229,Other Depository Financial Intermediation,622
6230,Non-depository Financing,623
6240,Financial Asset Investing,624
6310,Life Insurance,631
6321,Health Insurance,632
6322,General Insurance,632
6330,Superannuation Funds,633
6411,Financial Asset Broking Services,641
6419,Other Auxiliary Finance and Investment Services,641
6420,Auxiliary Insurance Services,642
6611,Passenger Car Rental and Hiring,661
6619,Other Motor Vehicle and Transport Equipment Rental and Hiring,661
6620,Farm Animals and Bloodstock Leasing,662
6631,Heavy Machinery and Scaffolding Rental and Hiring,663
6632,Video and Other Electronic Media Rental,663
6639,Other Goods and Equipment Rental and Hiring n.e.c.,663
6640,Non-Financial Intangible Assets (except Copyrights) Leasing,664
6711,Residential Property Operators,671
6712,Non-Residential Property Operators,671
6720,Real Estate Services,672
6910,Scientific Research Services,691
6921,Architectural Services,692
6922,Surveying and Mapping Services,692
6923,Engineering Design and Engineering Consulting Services,692
6924,Other Specialised Design Services,692
6925,Scientific Testing and Analysis Services,692
6931,Legal Services,693
6932,Accounting Services,693
6940,Advertising Services,694
6950,Market Research and Statistical Services,695
6961,Corporate Head Office Management Services,696
6962,Management Advice and Other Consulting Services,696
6970,Veterinary Services,697
6991,Professional Photographic Services,699
6999,"Other Professional, Scientific and Technical Services n.e.c.",699
7000,Computer Systems Design and Related Services,700
7211,Employment Placement and Recruitment Services,721
7212,Labour Supply Services,721
7220,Travel Agency and Tour Arrangement Services,722
7291,Office Administrative Services,729
7292,Document Preparation Services,729
7293,Credit Reporting and Debt Collection Services,729
7294,Call Centre Operation,729
7299,Other Administrative Services n.e.c.,729
7311,Buildings Cleaning Services,731
7312,Buildings Pest Control Services,731
7313,Gardening Services,731
7320,Packaging Services,732
7510,Central Government Administration,751
7520,State Government Administration,752
7530,Local Government Administration,753
7540,Justice,754
7551,Domestic Government Representation,755
7552,Foreign Government Representation,755
7600,Defence,760
7711,Police Services,771
7712,Investigation and Security Services,771
7713,Fire Protection and Other Emergency Services (except Ambulance Services),771
7714,Correctional and Detention Services,771
7719,Other Public Order and Safety Services,771
7720,Regulatory Services,772
8010,Preschool Education,801
8021,Primary Education,802
8022,Secondary Education,802
8023,Combined Primary and Secondary Education,802
8024,Special School Education,802
8101,Technical and Vocational Education and Training,810
8102,Higher Education,810
8211,Sports and Physical Recreation Instruction,821
8212,Arts Education,821
8219,"Adult, Community and Other Education n.e.c.",821
8220,Educational Support Services,822
8401,Hospitals (except Psychiatric Hospitals),840
8402,Psychiatric Hospitals,840
8511,General Practice Medical Services,851
8512,Specialist Medical Services,851
8520,Pathology and Diagnostic Imaging Services,852
8531,Dental Services,853
8532,Optometry and Optical Dispensing,853
8533,Physiotherapy Services,853
8534,Chiropractic and Osteopathic Services,853
8539,Other Allied Health Services,853
8591,Ambulance Services,859
8599,Other Health Care Services n.e.c.,859
8601,Aged Care Residential Services,860
8609,Other Residential Care Services,860
8710,Child Care Services,871
8790,Other Social Assistance Services,879
8910,Museum Operation,891
8921,Zoological and Botanic Gardens Operation,892
8922,Nature Reserves and Conservation Parks Operation,892
9001,Performing Arts Operation,900
9002,"Creative Artists, Musicians, Writers and Performers",900
9003,Performing Arts Venue Operation,900
9111,Health and Fitness Centres and Gymnasia Operation,911
9112,Sport and Physical Recreation Clubs and Sports Professionals,911
9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",911
9114,Sport and Physical Recreation Administrative Service,911
9121,Horse and Dog Racing Administration and Track Operation,912
9129,Other Horse and Dog Racing Activities,912
9131,Amusement Parks and Centres Operation,913
9139,Amusement and Other Recreation Activities n.e.c.,913
9201,Casino Operation,920
9202,Lottery Operation,920
9209,Other Gambling Activities,920
9411,Automotive Electrical Services,941
9412,"Automotive Body, Paint and Interior Repair",941
9419,Other Automotive Repair and Maintenance,941
9421,Domestic Appliance Repair and Maintenance,942
9422,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance,942
9429,Other Machinery and Equipment Repair and Maintenance,942
9491,Clothing and Footwear Repair,949
9499,Other Repair and Maintenance n.e.c.,949
9511,Hairdressing and Beauty Services,951
9512,Diet and Weight Reduction Centre Operation,951
9520,"Funeral, Crematorium and Cemetery Services",952
9531,Laundry and Dry-Cleaning Services,953
9532,Photographic Film Processing,953
9533,Parking Services,953
9534,Brothel Keeping and Prostitution Services,953
9539,Other Personal Services n.e.c.,953
9540,Religious Services,954
9551,Business and Professional Association Services,955
9552,Labour Association Services,955
9559,Other Interest Group Services n.e.c.,955
9601,Private Households Employing Staff,960
9602,Undifferentiated Goods-Producing Activities of Private Households for Own Use,960
9603,Undifferentiated Service-Producing Activities of Private Households for Own Use,960
9940,Don't Know,994
9950,Refused to Answer,995
9970,Response Unidentifiable,997
9980,Response Outside Scope,998
9999,Not Stated,999
